2080,up
7300,right
7825,left
8295,up
8705,down
9175,up
9575,down
10245,right
10720,left
10985,up
11240,down
11470,right
11730,up
12215,down
12470,right
12930,up
13335,right
14210,left
14475,right
14750,down
14950,down
15230,up
15490,right
16185,right
16675,up
17110,down
17960,left
18710,down
19850,up
20855,right
21780,left
23040,down
23660,up
24570,right
25460,down
26395,left
27365,right
27800,up
28040,down
28580,up
28815,down
29215,right
29460,left
29720,right
29965,up
30180,down
30455,up
30715,right
31225,left
32095,up
33070,down
33940,right
34830,up
35270,down
35515,up
35995,down
36260,up
36525,right
36780,left
37015,down
37250,up
37695,right
37950,right
38310,up
38955,up
39600,up
40290,up
40715,down
41695,down
42595,down
43830,down
44700,down
45680,right
46135,right
46630,right
47125,right
47615,right
48130,right
48505,left
48950,left
49365,left
49965,left
50410,up
50845,up
51250,up
51615,down
52085,up
52510,down
52725,up
52980,right
53235,left
53675,left
54120,left
54615,left
55100,left
55570,left
55990,right
56405,right
56980,right
57455,right
57850,right
58320,right
58730,up
59115,down
59510,up
59755,right
59985,down
60200,up
60445,right
60760,right
61230,up
61645,down
62130,up
62595,down
63040,up
63460,down
63920,up
64305,down
64840,right
65085,left
65345,right
65800,left
66080,down
66580,up
67065,up
67495,up
67945,up
68195,right
68660,left
69085,down
69590,down
70065,up
70515,right
70945,down
71485,down
71880,left
72340,up
72845,right
73315,up
73755,right
74115,left
74720,down
75215,down
75670,up
76170,up
76585,right
77120,right
77570,left
78060,left
78485,up
78995,up
79410,down
79815,up
80060,right
80335,down
80700,up
80985,left
81425,down
81900,down
82400,down
82825,down
83145,up
83420,right
83695,down
83915,up
84135,up
84535,right
84785,down
85020,up
85305,left
85570,up
85840,down
86045,down
86425,right
86655,up
86895,down
87380,right
87650,up
87880,down
88270,left
88520,up
89045,up
89405,down
89820,up
90235,down
90625,up
90995,up
91180,up
91365,up
91540,up
91715,up
92145,up
92315,up
92475,up
92630,up
92795,up
92945,up
93125,up
93600,right
93955,right
94410,right
94870,right
95110,right
95285,right
95550,left
95865,left
96585,down
96830,up
97040,down
97265,right
97500,up
97710,down
99000,over
